OBJECTID,Last_Update,Total_Reported,New_Reported,Travis_Reported,Travis_New,Travis_Recovered,Travis_Deaths,Travis_New_Deaths,Travis_Hospitalizations_at_Time,GlobalID,Record_Status_1,Active_Cases,Label_Date,No_Data_Entered,NoData
373,2021/02/10 22:00:39+00,74387,351,72972,347,68576,701,6,2978,{7645A7EB-EB94-4D1C-8CD5-E704EAC96964},Past,3695,2/10/2021,,
374,2021/02/11 22:00:39+00,74674,287,73259,287,69049,704,3,2992,{0FD8865B-B062-4193-8CB7-571DE9053C42},Past,3506,2/11/2021,,
375,2021/02/12 22:00:39+00,74954,280,73538,279,69460,710,6,2997,{6DB17FB8-E307-4C5C-85C9-B8BCBC4B7A42},Past,3368,2/12/2021,,
376,2021/02/13 22:00:39+00,75021,67,,,,,,,{B182B3A9-D342-4F35-90AA-EDA6C4A50E56},Past,,2/13/2021,0,
378,2021/02/14 22:00:39+00,75088,67,,,,,,,{EF42205A-7800-4682-9961-F79586E56CD2},Past,,2/14/2021,0,
379,2021/02/15 22:00:39+00,75155,67,,,,,,,{41E8434D-0279-4416-93BD-301DBB823F88},Past,,2/15/2021,0,
380,2021/02/16 22:00:39+00,75222,67,,,,,,,{742CA9B1-2913-4AD2-960C-74D244420570},Past,,2/16/2021,0,
381,2021/02/17 22:00:39+00,75289,67,,,,,,,{1343F459-2608-48A5-B575-5452CE765CF5},Past,,2/17/2021,0,
382,2021/02/18 22:00:39+00,75356,67,,,,,,,{081FFCCE-0D81-45BE-AF97-055297FF2F67},Past,,2/18/2021,0,
383,2021/02/19 22:00:39+00,75423,67,,,,,,,{31D75278-AE0E-4667-A5BC-8B7A3960FA09},Past,,2/19/2021,0,
384,2021/02/20 22:00:39+00,75490,67,,,,,,,{52227E09-01E9-488D-8EB2-C25912D28C37},Past,,2/20/2021,0,
385,2021/02/21 22:00:39+00,75557,67,,,,,,,{B800C784-744B-47C4-BCC4-8F6E58D1F325},Past,,2/21/2021,0,
386,2021/02/22 22:00:39+00,75622,397,74206,397,72468,714,0,3030,{EB41CC3B-4E08-4FA8-8C59-711D1047B72F},Past,1024,2/22/2021,,
387,2021/02/23 22:00:39+00,76016,394,74598,392,72717,727,13,3062,{9FCC2C54-B234-4B36-9EF0-C4C0C0F4D070},Past,1154,2/23/2021,,
388,2021/02/24 22:00:39+00,76253,237,74835,237,72961,733,6,3090,{D01AF939-D545-49B4-96F7-ADC03D231FB7},Past,1141,2/24/2021,,
389,2021/02/25 22:00:39+00,76465,212,75047,212,73136,734,1,3097,{E6943E63-B742-4A72-BC78-F7DA866C8976},Past,1177,2/25/2021,,
390,2021/02/26 22:00:39+00,76783,318,75362,315,73328,743,9,3109,{5497E8ED-1375-4E6A-8BBA-8EC15B1955CC},Past,1291,2/26/2021,,
391,2021/02/27 22:00:39+00,77038,255,75617,255,73455,743,0,3111,{43327EF9-743C-4D44-9FD3-9439ADED12E3},Past,1419,2/27/2021,,
392,2021/02/28 22:00:39+00,77057,19,75636,19,73519,743,0,3113,{5823AE7C-0F21-4E1D-B048-5E55C2E157F4},Past,1374,2/28/2021,,
393,2021/03/01 22:00:39+00,77322,265,75901,265,73579,744,1,3118,{9E8F2250-A8E4-4924-B480-3E5363B84EC3},Past,1578,3/1/2021,,
394,2021/03/02 22:00:39+00,77516,194,76088,187,73678,749,5,3131,{68AE8FC4-902D-42B0-83E0-0C251914AF18},Past,1661,3/2/2021,,
395,2021/03/03 22:00:39+00,77704,188,76274,186,73802,754,5,3144,{ECB6680A-D341-4AB4-8081-31CEB4CBED6B},Past,1718,3/3/2021,,
396,2021/03/04 22:00:39+00,77798,94,76365,91,73880,761,7,3157,{6476BDE1-A43F-4C12-B6FE-13B86AB4E5A6},Past,1724,3/4/2021,,
397,2021/03/05 22:00:39+00,77888,90,76447,82,73997,765,4,3163,{7BF1AB69-455A-4BC6-8D85-10B5E433427F},Past,1685,3/5/2021,,
398,2021/03/06 22:00:39+00,77957,69,76507,60,74159,766,1,3165,{D4C57CCF-9824-4E74-A6DC-EB9933EA5D2A},Past,1583,3/6/2021,,
